id;short_description;nom;id_manufacturer;categorie;gencod;upc;minimal_quantity;prix_final;prix_unite;unite;reference;weight;feature[0];feature[1];feature[2];feature[3];feature[4];filename;etat;;;;
20;Demi-grenailles au romarin McCAIN Barquette 400 g;Demi-grenailles au romarin;914;6261;8,71E+12;111212020;1;9.309000;6.206000;4;966549;1.600000;Conditionnement-Barquette 400 g;Unité par carton-4;NB carton/palette-96;DLV Garantie-14;DLV Théorique-18;centraleachatexport.com/22869-small_default/demi-grenailles-au-romarin.jpg;0;;;;
21;Sachet mache CRUDETTE Le sachet 45g;Sachet mache;915;6261;3,06E+12;111213001;1;4.158900;0.693150;6;964502;0.670000;Conditionnement-Le sachet 45g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22870-small_default/sachet-mache.jpg;1;;;;
22;Sachet salade CRUDETTE Le sachet 70g;Sachet salade;915;6261;3,06E+12;111213002;1;4.186800;0.697800;6;963926;0.670000;Conditionnement-Le sachet 70g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22871-small_default/sachet-salade.jpg;1;;;;
23;Sachet laitue CRUDETTE Le sachet 70g;Sachet laitue;915;6261;3,06E+12;111213003;1;4.253400;0.708900;6;964387;0.670000;Conditionnement-Le sachet 70g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22872-small_default/sachet-laitue.jpg;1;;;;
24;Sachet roquette CRUDETTE Le sachet 45g;Sachet roquette;915;6261;3,06E+12;111213004;1;4.167900;0.694650;6;963660;0.670000;Conditionnement-Le sachet 45g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22873-small_default/sachet-roquette.jpg;1;;;;
25;Coeur de laitue BONDUELLE Le sachet 160g;Coeur de laitue;916;6261;3,08E+12;111213005;1;8.866800;1.477800;6;940148;1.250000;Conditionnement-Le sachet 160g;Unité par carton-6;NB carton/palette-80;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22874-small_default/coeur-de-laitue.jpg;1;;;;
26;Coeur de laitue BONDUELLE Le sachet 280g;Coeur de laitue;916;6261;3,08E+12;111213006;1;17.936400;2.242050;8;859942;2.610000;Conditionnement-Le sachet 280g;Unité par carton-8;NB carton/palette-80;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/22875-small_default/coeur-de-laitue.jpg;1;;;;
27;Roquette BONDUELLE Le sachet 100g;Roquette;916;6261;3,08E+12;111213007;1;8.194500;1.365750;6;940403;1.000000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-80;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22876-small_default/roquette.jpg;1;;;;
28;Feuille de chêne BONDUELLE Le sachet 125g;Feuille de chêne;916;6261;3,08E+12;111213008;1;9.322200;1.553700;6;940528;1.110000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-70;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/36919-small_default/feuille-de-chene.jpg;1;;;;
29;Mâche BONDUELLE Le sachet 100g;Mâche;916;6261;3,08E+12;111213009;1;7.398900;1.233150;6;940122;0.960000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-30;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22878-small_default/mache.jpg;1;;;;
30;Mâche BONDUELLE Le sachet 175g;Mâche;916;6261;3,08E+12;111213010;1;15.069600;1.883700;8;940189;1.410000;Conditionnement-Le sachet 175g;Unité par carton-8;NB carton/palette-40;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22879-small_default/mache.jpg;1;;;;
31;Salade 4 saveurs gourmandes BONDUELLE Le sachet 160g;Salade 4 saveurs gourmandes;916;6261;3,08E+12;111213011;1;8.981100;1.496850;6;939801;1.380000;Conditionnement-Le sachet 160g;Unité par carton-6;NB carton/palette-70;DLV Garantie-5;DLV Théorique-7;centraleachatexport.com/22880-small_default/salade-4-saveurs-gourmandes.jpg;1;;;;
32;Salade 4 Saveurs gourmandes BONDUELLE Le sachet 280g;Salade 4 Saveurs gourmandes;916;6261;3,08E+12;111213012;1;19.161600;2.395200;8;569285;2.300000;Conditionnement-Le sachet 280g;Unité par carton-8;NB carton/palette-80;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22881-small_default/salade-4-saveurs-gourmandes.jpg;1;;;;
33;Salade Feuille de chêne rouge BONDUELLE Le sachet 125g;Salade Feuille de chêne rouge;916;6261;3,08E+12;111213013;1;9.322200;1.553700;6;940502;1.020000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-80;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/22882-small_default/salade-feuille-de-chene-rouge.jpg;1;;;;
34;Mâche et Roquette BONDUELLE Le sachet 100g;Mâche et Roquette;916;6261;3,08E+12;111213014;1;8.658900;1.443150;6;873802;0.700000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-80;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22883-small_default/mache-et-roquette.jpg;1;;;;
35;Jeunes pousses épinard BONDUELLE Le sachet 100g;Jeunes pousses épinard;916;6261;3,08E+12;111213015;1;8.583300;1.430550;6;948943;1.080000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-50;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22884-small_default/jeunes-pousses-epinard.jpg;1;;;;
36;Laitue romaine BONDUELLE Le sachet 125g;Laitue romaine;916;6261;3,08E+12;111213016;1;10.335600;1.722600;6;959247;1.200000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-80;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22885-small_default/laitue-romaine.jpg;1;;;;
37;Laitue Iceberg BONDUELLE Le sachet 280g;Laitue Iceberg;916;6261;3,08E+12;111213017;1;9.975600;1.662600;6;873745;1.920000;Conditionnement-Le sachet 280g;Unité par carton-6;NB carton/palette-80;DLV Garantie-7;DLV Théorique-8;centraleachatexport.com/22886-small_default/laitue-iceberg.jpg;1;;;;
38;Salade Mesclun BONDUELLE Le sachet 145g;Salade Mesclun;916;6261;3,08E+12;111213018;1;11.187900;1.864650;6;986182;1.220000;Conditionnement-Le sachet 145g;Unité par carton-6;NB carton/palette-60;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22887-small_default/salade-mesclun.jpg;1;;;;
39;Jeunes Pousses Batavia-Laitue rouge-Romaine -  BONDUELLE le sachet 145 g;Jeunes Pousses Batavia-Laitue rouge-Romaine -;916;6261;3,08E+12;111213019;1;11.187900;1.864650;6;942888;1.500000;Conditionnement-le sachet 145 g;Unité par carton-6;NB carton/palette-50;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22888-small_default/jeunes-pousses-batavia-laitue-rouge-romaine-.jpg;1;;;;
40;Salade jeunes pousses&roquette BONDUELLE Le sachet 145g;Salade jeunes pousses&roquette;916;6261;3,08E+12;111213020;1;11.187900;1.864650;6;848564;1.120000;Conditionnement-Le sachet 145g;Unité par carton-6;NB carton/palette-80;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/22889-small_default/salade-jeunes-poussesroquette.jpg;1;;;;
41;Salade du jour BONDUELLE Le sachet 125g;Salade du jour;916;6261;3,08E+12;111213021;1;9.691200;1.615200;6;876946;0.999000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-80;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22890-small_default/salade-du-jour.jpg;1;;;;
42;Feuille mache BONDUELLE Le sachet 100g;Feuille mache;916;6261;3,08E+12;111213022;1;9.672300;1.612050;6;567941;0.845000;Conditionnement-Le sachet 100g;Unité par carton-6;NB carton/palette-80;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/28072-small_default/feuille-mache.jpg;1;;;;
43;Coeur de scarole BELLE FRANCE Le sachet 200g;Coeur de scarole;917;6261;3,26E+12;111213023;1;5.722200;0.953700;6;979120;1.429000;Conditionnement-Le sachet 200g;Unité par carton-6;NB carton/palette-64;DLV Garantie-5;DLV Théorique-6;Produits belle france -oui;centraleachatexport.com/22891-small_default/coeur-de-scarole.jpg;1;;;
44;Feuille de chène BELLE FRANCE Le sachet 125g;Feuille de chène;917;6261;3,26E+12;111213024;1;4.878900;0.813150;6;979146;0.979000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-64;DLV Garantie-5;DLV Théorique-6;Produits belle france -oui;centraleachatexport.com/22892-small_default/feuille-de-chene.jpg;1;;;
45;Coeur de frisée  BELLE FRANCE Le sachet 170g;Coeur de frisée;917;6261;3,26E+12;111213025;1;6.005700;1.000950;6;979161;1.249000;Conditionnement-Le sachet 170g;Unité par carton-6;NB carton/palette-64;DLV Garantie-5;DLV Théorique-6;Produits belle france -oui;centraleachatexport.com/22893-small_default/coeur-de-frisee.jpg;1;;;
46;Coeur de laitue  BELLE FRANCE Le sachet 200g;Coeur de laitue;917;6261;3,26E+12;111213026;1;6.470100;1.078350;6;940486;1.300000;Conditionnement-Le sachet 200g;Unité par carton-6;NB carton/palette-68;DLV Garantie-4;DLV Théorique-5;Produits belle france -oui;centraleachatexport.com/37789-small_default/coeur-de-laitue.jpg;1;;;
47;Bouquet de mache  BELLE FRANCE Le sachet 125g;Bouquet de mache;917;6261;3,26E+12;111213027;1;4.313400;1.078350;4;940825;1.000000;Conditionnement-Le sachet 125g;Unité par carton-6;NB carton/palette-68;DLV Garantie-5;DLV Théorique-6;Produits belle france -oui;centraleachatexport.com/37174-small_default/bouquet-de-mache.jpg;1;;;
