id;short_description;nom;id_manufacturer;categorie;gencod;upc;minimal_quantity;prix_final;prix_unite;unite;reference;weight;feature[0];feature[1];feature[2];feature[3];feature[4];filename;etat;;;;
1749;Julienne de légumes BONDUELLE Le sachet 450g;Julienne de légumes;916;6261;3,08E+12;122414001;1;10.421100;1.736850;6;857003;3.000000;Conditionnement-Le sachet 450g;Unité par carton-6;NB carton/palette-168;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28060-small_default/julienne-de-legumes.jpg;0;;;;
1750;Epinards feuilles préservées BONDUELLE Le sachet 750g;Epinards feuilles préservées;916;6261;3,08E+12;122414002;1;16.909500;1.690950;10;803528;7.500000;Conditionnement-Le sachet 750g;Unité par carton-10;NB carton/palette-64;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28063-small_default/epinards-feuilles-preservees.jpg;0;;;;
1751;"Epinards ""Feuilles Préservées"" BONDUELLE 1kg";"Epinards ""Feuilles Préservées""";916;6261;3,08E+12;122414003;1;20.778000;2.077800;10;584003;10.000000;Conditionnement-1kg;Unité par carton-10;NB carton/palette-48;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24070-small_default/epinards-feuilles-preservees.jpg;1;;;;
1752;Légumes pour Potage Précuit Potiron/Potimarron/Carottes/Oignons BONDUELLE Le sachet 750g;Légumes pour Potage Précuit Potiron/Potimarron/Carottes/Oignons;916;6261;3,08E+12;122414004;1;21.997800;1.833150;12;859785;9.000000;Conditionnement-Le sachet 750g;Unité par carton-12;NB carton/palette-80;DLV Théorique-360;centraleachatexport.com/24071-small_default/legumes-pour-potage-precuit-potiron-potimarron-carottes-oignons.jpg;1;;;;;
1753;Légumes pour Potage Précuit Courgettes/Haricots verts/Pois/Brocolis BONDUELLE Le sachet 750g;Légumes pour Potage Précuit Courgettes/Haricots verts/Pois/Brocolis;916;6261;3,08E+12;122414005;1;21.997800;1.833150;12;859363;9.000000;Conditionnement-Le sachet 750g;Unité par carton-12;NB carton/palette-80;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24072-small_default/legumes-pour-potage-precuit-courgettes-haricots-verts-pois-brocolis.jpg;1;;;;
1754;Fleurettes de Choux Fleurs déjà cuits Juste à Réchauffer D'AUCY Le sachet 750g;Fleurettes de Choux Fleurs déjà cuits Juste à Réchauffer;1049;6261;3,25E+12;122414006;1;19.594500;1.959450;10;991000;7.910000;Conditionnement-Le sachet 750g;Unité par carton-10;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/36471-small_default/fleurettes-de-choux-fleurs-deja-cuits-juste-a-rechauffer.jpg;1;;;;
1755;Epinards hachés D'AUCY Le sachet 450g;Epinards hachés;1049;6261;3,25E+12;122414007;1;5.589000;0.931500;6;990143;2.700000;Conditionnement-Le sachet 450g;Unité par carton-6;NB carton/palette-136;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/38399-small_default/epinards-haches.jpg;1;;;;
1756;Epinards Hachés en portions D'AUCY Le sachet 1 kg;Epinards Hachés en portions;1049;6261;3,25E+12;122414008;1;12.520500;1.252050;10;989509;10.000000;Conditionnement-Le sachet 1 kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24073-small_default/epinards-haches-en-portions.jpg;1;;;;
1757;Haricots verts extra fin  D'AUCY Le sachet 1kg;Haricots verts extra fin;1049;6261;3,25E+12;122414009;1;20.100000;2.010000;10;990887;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-45;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28294-small_default/haricots-verts-extra-fin.jpg;1;;;;
1758;Haricots verts juste à rechauffer D'AUCY Le sachet 750g;Haricots verts juste à rechauffer;1049;6261;3,25E+12;122414010;1;19.594500;1.959450;10;991026;7.910000;Conditionnement-Le sachet 750g;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24074-small_default/haricots-verts-juste-a-rechauffer.jpg;1;;;;
1759;Légumes pôt au feu D'AUCY Le sachet 1kg;Légumes pôt au feu;1049;6261;3,25E+12;122414011;1;15.252000;1.525200;10;990184;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/31096-small_default/legumes-pot-au-feu.jpg;1;;;;
1760;Mélange brocolis choux fleurs carottes juste à rechauffer D'AUCY Le sachet 750g;Mélange brocolis choux fleurs carottes juste à rechauffer;1049;6261;3,25E+12;122414012;1;21.772500;2.177250;10;827725;7.910000;Conditionnement-Le sachet 750g;Unité par carton-10;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24075-small_default/melange-brocolis-choux-fleurs-carottes-juste-a-rechauffer.jpg;1;;;;
1761;Epinards en branches surgelés BELLE FRANCE Le sachet 1kg;Epinards en branches surgelés;917;6261;3,26E+12;122414013;1;12.174000;1.217400;10;960468;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29620-small_default/epinards-en-branches-surgeles.jpg;1;;;
1762;Epinards en branches surgelés BELLE FRANCE Le sachet 450g;Epinards en branches surgelés;917;6261;3,26E+12;122414014;1;4.537800;0.756300;6;960369;2.700000;Conditionnement-Le sachet 450g;Unité par carton-6;NB carton/palette-144;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/38122-small_default/epinards-en-branches-surgeles.jpg;1;;;
1763;Epinards hachés surgelés BELLE FRANCE Le sachet 1kg;Epinards hachés surgelés;917;6261;3,26E+12;122414015;1;10.009500;1.000950;10;960484;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29619-small_default/epinards-haches-surgeles.jpg;1;;;
1764;Haricots verts extra fins surgelés BELLE FRANCE Le sachet 300g;Haricots verts extra fins surgelés;917;6261;3,26E+12;122414016;1;4.670100;0.778350;6;960443;1.800000;Conditionnement-Le sachet 300g;Unité par carton-6;NB carton/palette-189;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29617-small_default/haricots-verts-extra-fins-surgeles.jpg;1;;;
1765;Carottes en rondelles BELLE FRANCE Le sachet 1kg;Carottes en rondelles;917;6261;3,26E+12;122414017;1;7.783500;0.778350;10;979369;10.400000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29493-small_default/carottes-en-rondelles.jpg;1;;;
1766;Petits pois extra fins surgelés BELLE FRANCE Le sachet 450g;Petits pois extra fins surgelés;917;6261;3,26E+12;122414018;1;5.816700;0.969450;6;960385;2.700000;Conditionnement-Le sachet 450g;Unité par carton-6;NB carton/palette-207;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/36405-small_default/petits-pois-extra-fins-surgeles.jpg;1;;;
1767;Petits pois extra fins BELLE FRANCE Le sachet 1kg;Petits pois extra fins;917;6261;3,26E+12;122414019;1;16.483500;1.648350;10;960401;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-81;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/37007-small_default/petits-pois-extra-fins.jpg;1;;;
1768;Oignons émincés surgelés BELLE FRANCE Le sachet 1kg;Oignons émincés surgelés;917;6261;3,26E+12;122414020;1;11.446500;1.144650;10;960344;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/38738-small_default/oignons-eminces-surgeles.jpg;1;;;
1769;Légumes pour couscous surgelés BELLE FRANCE Le sachet 1kg;Légumes pour couscous surgelés;917;6261;3,26E+12;122414021;1;11.526000;1.152600;10;960286;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/37859-small_default/legumes-pour-couscous-surgeles.jpg;1;;;
1770;Courgettes en rondelles surgelées BELLE FRANCE Le sachet 1kg;Courgettes en rondelles surgelées;917;6261;3,26E+12;122414022;1;10.846500;1.084650;10;990168;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29621-small_default/courgettes-en-rondelles-surgelees.jpg;1;;;
1771;Fonds d'artichauts   Le sachet 450g;Fonds d'artichauts;0;6261;3,42E+12;122414023;1;58.242600;4.853550;12;942243;5.800000;Conditionnement-Le sachet 450g;Unité par carton-12;NB carton/palette-90;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28681-small_default/fonds-d-artichauts.jpg;1;;;;
1772;Fèves pelées  Le sachet 600g;Fèves pelées;0;6261;3,42E+12;122414024;1;50.020200;4.168350;12;979104;7.200000;Conditionnement-Le sachet 600g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-36;;1;;;;
1773;Poêlée cèpes, légumes   Le sachet 450g;Poêlée cèpes, légumes;0;6261;3,43E+12;122414025;1;45.851400;3.820950;12;955245;5.500000;Conditionnement-Le sachet 450g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24076-small_default/poelee-cepes-legumes.jpg;0;;;;
1774;Délices des forêts aux cèpes MAGDA le sachet 300g;Délices des forêts aux cèpes;1050;6261;3,43E+12;122414026;1;40.120500;2.865750;14;567024;4.200000;Conditionnement-le sachet 300g;Unité par carton-14;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24077-small_default/delices-des-forets-aux-cepes.jpg;0;;;;
1775;Haricots verts extra fin BELLE FRANCE Le sachet 1kg;Haricots verts extra fin;917;6261;3,50E+12;122414027;1;16.168500;1.616850;10;960245;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/24078-small_default/haricots-verts-extra-fin.jpg;1;;;
1776;Choux fleurs  BELLE FRANCE Le sachet 1kg;Choux fleurs;917;6261;3,50E+12;122414028;1;13.009500;1.300950;10;960203;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/24079-small_default/choux-fleurs.jpg;1;;;
1777;Champignons de Paris émincés BELLE FRANCE Le sachet 1kg;Champignons de Paris émincés;917;6261;3,50E+12;122414029;1;14.841000;1.484100;10;960427;10.400000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29500-small_default/champignons-de-paris-eminces.jpg;1;;;
1778;Brocolis  BELLE FRANCE Le sachet 1kg;Brocolis;917;6261;3,50E+12;122414030;1;15.837000;1.583700;10;960229;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-45;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/24080-small_default/brocolis.jpg;1;;;
1779;Pommes grenailles  FINDUS Le sachet 450g;Pommes grenailles;1048;6261;3,60E+12;122414031;1;31.104000;3.110400;10;834580;4.500000;Conditionnement-Le sachet 450g;Unité par carton-10;NB carton/palette-108;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/31097-small_default/pommes-grenailles.jpg;0;;;;
1780;Cèpes Sauvages morceaux SECRETS DES ELFES La boîte 300g;Cèpes Sauvages morceaux;1051;6261;3,76E+12;122414032;1;48.504000;6.063000;8;564005;2.400000;Conditionnement-La boîte 300g;Unité par carton-8;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24081-small_default/cepes-sauvages-morceaux.jpg;0;;;;
1781;Choux de bruxelles WINNY Le sachet 1kg;Choux de bruxelles;920;6261;5,40E+12;122414033;1;12.426000;1.242600;10;576967;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-72;DLV Garantie-110;DLV Théorique-360;centraleachatexport.com/28892-small_default/choux-de-bruxelles.jpg;1;;;;
1782;Légumes potage WINNY Le sachet 1kg;Légumes potage;920;6261;5,40E+12;122414034;1;10.215000;1.021500;10;576983;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28893-small_default/legumes-potage.jpg;1;;;;
1783;Pois très fins carottes WINNY Le sachet 1kg;Pois très fins carottes;920;6261;5,40E+12;122414035;1;14.383500;1.438350;10;577049;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-81;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28894-small_default/pois-tres-fins-carottes.jpg;1;;;;
1784;Haricots verts très fin WINNY Le sachet 1kg;Haricots verts très fin;920;6261;5,40E+12;122414036;1;12.837000;1.283700;10;577023;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24082-small_default/haricots-verts-tres-fin.jpg;1;;;;
1785;Poireaux rondelles   Le sachet 1kg;Poireaux rondelles;0;6261;5,41E+12;122414037;1;10.800000;1.080000;10;556928;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;;1;;;;
1786;Légumes ratatouille BELLE FRANCE Le sachet 1kg;Légumes ratatouille;917;6261;5,41E+12;122414038;1;13.500000;1.350000;10;960328;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29623-small_default/legumes-ratatouille.jpg;1;;;
1787;Epinards hachés crème BONDUELLE Le sachet 750g;Epinards hachés crème;916;6261;3,08E+12;122515001;1;23.400000;1.950000;12;978726;9.000000;Conditionnement-Le sachet 750g;Unité par carton-12;NB carton/palette-64;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/38077-small_default/epinards-haches-creme.jpg;1;;;;
1788;Galettes de légumes choux-fleurs, brocolis & carottes BONDUELLE La boite 300 g;Galettes de légumes choux-fleurs, brocolis & carottes;916;6261;3,08E+12;122515002;1;25.313400;2.109450;12;950949;4.000000;Conditionnement-La boite 300 g;Unité par carton-12;NB carton/palette-132;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/38811-small_default/galettes-de-legumes-choux-fleurs-brocolis-carottes.jpg;1;;;;
1789;Galettes de légumes poireaux carottes BONDUELLE La boite 300 g;Galettes de légumes poireaux carottes;916;6261;3,08E+12;122515003;1;25.313400;2.109450;12;951301;4.000000;Conditionnement-La boite 300 g;Unité par carton-12;NB carton/palette-132;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/38069-small_default/galettes-de-legumes-poireaux-carottes.jpg;1;;;;
1790;Poélée parisienne BONDUELLE Le sachet 700g;Poélée parisienne;916;6261;3,08E+12;122515004;1;38.993400;3.249450;12;951103;9.000000;Conditionnement-Le sachet 700g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24085-small_default/poelee-parisienne.jpg;1;;;;
1791;Poêlée Rustique La Paysanne (Pommes de Terre, Brocolis & Champignons) BONDUELLE Le sachet 700g;Poêlée Rustique La Paysanne (Pommes de Terre, Brocolis & Champignons);916;6261;3,08E+12;122515005;1;40.033800;3.336150;12;951186;9.500000;Conditionnement-Le sachet 700g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28066-small_default/poelee-rustique-la-paysanne-pommes-de-terre-brocolis-champignons.jpg;1;;;;
1792;Poêlée du Sud La Catalane Haricots plats, Courgettes grillées, Thym BONDUELLE Le sachet 700g;Poêlée du Sud La Catalane Haricots plats, Courgettes grillées, Thym;916;6261;3,08E+12;122515006;1;17.506800;2.917800;6;951285;8.500000;Conditionnement-Le sachet 700g;Unité par carton-6;NB carton/palette-135;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24086-small_default/poelee-du-sud-la-catalane-haricots-plats-courgettes-grillees-thym.jpg;0;;;;
1793;Poêlée Rustique La Parisienne BONDUELLE Le sachet 700g;Poêlée Rustique La Parisienne;916;6261;3,08E+12;122515007;1;19.496700;3.249450;6;856989;8.500000;Conditionnement-Le sachet 700g;Unité par carton-6;NB carton/palette-135;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24087-small_default/poelee-rustique-la-parisienne.jpg;1;;;;
1794;Epinards branche crème BONDUELLE Le sachet 500g;Epinards branche crème;916;6261;3,08E+12;122515008;1;7.654500;1.275750;6;978387;3.000000;Conditionnement-Le sachet 500g;Unité par carton-6;NB carton/palette-144;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28069-small_default/epinards-branche-creme.jpg;1;;;;
1795;Barquette de gratin de courgettes surgelée micro-ondable BELLE FRANCE La barquette 400g;Barquette de gratin de courgettes surgelée micro-ondable;917;6261;3,26E+12;122515009;1;11.036700;1.839450;6;803460;2.800000;Conditionnement-La barquette 400g;Unité par carton-6;NB carton/palette-184;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/37083-small_default/barquette-de-gratin-de-courgettes-surgelee-micro-ondable.jpg;1;;;
1796;Barquette de gratin d'aubergines surgelée micro-ondable BELLE FRANCE La barquette 400g;Barquette de gratin d'aubergines surgelée micro-ondable;917;6261;3,26E+12;122515010;1;11.036700;1.839450;6;803486;2.800000;Conditionnement-La barquette 400g;Unité par carton-6;NB carton/palette-184;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/36883-small_default/barquette-de-gratin-d-aubergines-surgelee-micro-ondable.jpg;1;;;
1797;Barquette de gratin dauphinois surgelée micro-ondable BELLE FRANCE La barquette 400g;Barquette de gratin dauphinois surgelée micro-ondable;917;6261;3,26E+12;122515011;1;14.715600;1.839450;8;792788;3.800000;Conditionnement-La barquette 400g;Unité par carton-8;NB carton/palette-112;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/38541-small_default/barquette-de-gratin-dauphinois-surgelee-micro-ondable.jpg;1;;;
1798;Barquette de gratin de choux fleurs surgelée micro-ondable BELLE FRANCE La barquette 400g;Barquette de gratin de choux fleurs surgelée micro-ondable;917;6261;3,26E+12;122515012;1;14.715600;1.839450;8;792804;3.800000;Conditionnement-La barquette 400g;Unité par carton-8;NB carton/palette-112;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/36750-small_default/barquette-de-gratin-de-choux-fleurs-surgelee-micro-ondable.jpg;1;;;
1799;Poêlée champêtre surgelée BELLE FRANCE Le sachet 1kg;Poêlée champêtre surgelée;917;6261;3,26E+12;122515013;1;21.472500;2.147250;10;960260;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/36423-small_default/poelee-champetre-surgelee.jpg;1;;;
1800;Poêlée Méridionale surgelée BELLE FRANCE Le sachet 1kg;Poêlée Méridionale surgelée;917;6261;3,26E+12;122515014;1;21.472500;2.147250;10;960500;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-63;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/38826-small_default/poelee-meridionale-surgelee.jpg;1;;;
1801;Poêlée à la campagnarde surgelée BELLE FRANCE Le sachet 900g;Poêlée à la campagnarde surgelée;917;6261;3,26E+12;122515015;1;32.335500;3.233550;10;948364;9.400000;Conditionnement-Le sachet 900g;Unité par carton-10;NB carton/palette-64;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29632-small_default/poelee-a-la-campagnarde-surgelee.jpg;1;;;
1802;Poêlée parisienne BELLE FRANCE Le sachet 1kg;Poêlée parisienne;917;6261;3,26E+12;122515016;1;21.472500;2.147250;10;960526;10.000000;Conditionnement-Le sachet 1kg;Unité par carton-10;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/37198-small_default/poelee-parisienne.jpg;1;;;
1803;Epinards hachés à la crème surgelés BELLE FRANCE Le sachet 450g;Epinards hachés à la crème surgelés;917;6261;3,26E+12;122515017;1;5.712300;0.952050;6;987024;2.700000;Conditionnement-La boite 450g;Unité par carton-6;NB carton/palette-136;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/37235-small_default/epinards-haches-a-la-creme-surgeles.jpg;1;;;
1804;Poêlée légumes grillés Le sachet 600g;Poêlée légumes grillés;2460;6261;3,42E+12;122515018;1;39.030000;3.903000;10;962381;6.000000;Conditionnement-Le sachet 600g;Unité par carton-10;NB carton/palette-88;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/29118-small_default/poelee-legumes-grilles.jpg;1;;;;
1805;Aubergines grillées  Le sachet 400g;Aubergines grillées;0;6261;3,43E+12;122515019;1;31.924800;2.660400;12;972380;5.200000;Conditionnement-Le sachet 400g;Unité par carton-12;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24088-small_default/aubergines-grillees.jpg;1;;;;
1806;Poivrons grillés  Le sachet 400g;Poivrons grillés;0;6261;3,43E+12;122515020;1;34.749000;2.895750;12;942409;5.200000;Conditionnement-Le sachet 400g;Unité par carton-12;NB carton/palette-54;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24089-small_default/poivrons-grilles.jpg;1;;;;
1807;Epinards en branches à la crème fraiche surgelés FINDUS Le sachet 500g;Epinards en branches à la crème fraiche surgelés;1048;6261;3,60E+12;122515021;1;21.189000;2.118900;10;852244;5.000000;Conditionnement-Le sachet 500g;Unité par carton-10;NB carton/palette-128;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/37693-small_default/epinards-en-branches-a-la-creme-fraiche-surgeles.jpg;1;;;;
1809;Poelée rustique  FINDUS Le sachet 900g;Poelée rustique;1048;6261;3,60E+12;122515023;1;45.156000;5.644500;8;569061;7.500000;Conditionnement-Le sachet 900g;Unité par carton-8;NB carton/palette-56;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24091-small_default/poelee-rustique.jpg;0;;;;
1810;Légumes noisettes carottes  IGLO Le sachet 500g;Légumes noisettes carottes;1052;6261;3,66E+12;122515024;1;18.681300;3.113550;6;957167;3.000000;Conditionnement-Le sachet 500g;Unité par carton-6;NB carton/palette-180;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24092-small_default/legumes-noisettes-carottes.jpg;0;;;;
1811;Légumes noisettes épinards IGLO Le sachet 500g;Légumes noisettes épinards;1052;6261;3,66E+12;122515025;1;19.107900;3.184650;6;957183;3.000000;Conditionnement-Le sachet 500g;Unité par carton-6;NB carton/palette-180;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24093-small_default/legumes-noisettes-epinards.jpg;0;;;;
1812;Haricots verts extra fin vapeur  BONDUELLE Le sachet 300g;Haricots verts extra fin vapeur;916;6261;3,08E+12;122616001;1;6.944400;1.157400;6;764001;2.120000;Conditionnement-Le sachet 300g;Unité par carton-6;NB carton/palette-168;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28058-small_default/haricots-verts-extra-fin-vapeur.jpg;1;;;;
1813;Brocolis précuit vapeur BONDUELLE Le sachet 280g;Brocolis précuit vapeur;916;6261;3,08E+12;122616002;1;7.010100;1.168350;6;763961;2.120000;Conditionnement-Le sachet 280g;Unité par carton-6;NB carton/palette-168;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28070-small_default/brocolis-precuit-vapeur.jpg;1;;;;
1814;Légumes vapeur méditerranéen IGLO Le sachet 400g;Légumes vapeur méditerranéen;1052;6261;3,66E+12;122616003;1;15.526800;2.587800;6;960021;2.500000;Conditionnement-Le sachet 400g;Unité par carton-6;NB carton/palette-165;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24094-small_default/legumes-vapeur-mediterraneen.jpg;0;;;;
1815;Légumes vapeur jardin IGLO Le sachet 400g;Légumes vapeur jardin;1052;6261;3,66E+12;122616004;1;15.526800;2.587800;6;960005;2.500000;Conditionnement-Le sachet 400g;Unité par carton-6;NB carton/palette-165;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24095-small_default/legumes-vapeur-jardin.jpg;0;;;;
1816;Légumes vapeur épinard IGLO Le sachet 400g;Légumes vapeur épinard;1052;6261;3,66E+12;122616005;1;16.521300;11.014200;6;861641;2.500000;Conditionnement-Le sachet 400g;Unité par carton-6;NB carton/palette-165;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/24096-small_default/legumes-vapeur-epinard.jpg;0;;;;
1817;Purée trio de légumes verts BONDUELLE Le sachet 720g;Purée trio de légumes verts;916;6261;3,08E+12;122718001;1;28.183500;2.818350;10;982389;7.800000;Conditionnement-Le sachet 720g;Unité par carton-10;NB carton/palette-80;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28064-small_default/puree-trio-de-legumes-verts.jpg;0;;;;
1818;Purée 4 saveurs BONDUELLE Le sachet 720g;Purée 4 saveurs;916;6261;3,08E+12;122718002;1;28.183500;2.818350;10;982405;7.800000;Conditionnement-Le sachet 720g;Unité par carton-10;NB carton/palette-80;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28065-small_default/puree-4-saveurs.jpg;0;;;;
1819;Purée si tendre BONDUELLE Le sachet 720g;Purée si tendre;916;6261;3,08E+12;122718003;1;23.289000;2.328900;10;847541;7.800000;Conditionnement-Le sachet 720g;Unité par carton-10;NB carton/palette-80;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28068-small_default/puree-si-tendre.jpg;0;;;;
1820;Purée Délice Douceur de céleri BONDUELLE Le sachet 720g;Purée Délice Douceur de céleri;916;6261;3,08E+12;122718004;1;30.283500;3.028350;10;576504;7.300000;Conditionnement-Le sachet 720g;Unité par carton-10;NB carton/palette-80;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/28071-small_default/puree-delice-douceur-de-celeri.jpg;1;;;;
1821;Purée 4 saveurs  BONDUELLE Le sachet 420g;Purée 4 saveurs;916;6261;3,08E+12;122718005;1;10.089000;1.681500;6;979708;2.600000;Conditionnement-Le sachet 420g;Unité par carton-6;NB carton/palette-168;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/37361-small_default/puree-4-saveurs.jpg;1;;;;
1822;Purée délice vert BONDUELLE Le sachet 420g;Purée délice vert;916;6261;3,08E+12;122718006;1;10.089000;1.681500;6;979641;2.600000;Conditionnement-Le sachet 420g;Unité par carton-6;NB carton/palette-168;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/38109-small_default/puree-delice-vert.jpg;1;;;;
1823;Purée pommes de terre   BELLE FRANCE Le sachet 750g;Purée pommes de terre;917;6261;3,26E+12;122718007;1;15.535800;1.294650;12;953786;9.000000;Conditionnement-Le sachet 750g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;Produits belle france -oui;centraleachatexport.com/29569-small_default/puree-pommes-de-terre.jpg;1;;;
1824;Purée nature McCAIN Le sachet 750g;Purée nature;914;6261;8,71E+12;122718008;1;24.971400;2.080950;12;982462;10.000000;Conditionnement-Le sachet 750g;Unité par carton-12;NB carton/palette-72;DLV Garantie-180;DLV Théorique-360;centraleachatexport.com/37106-small_default/puree-nature.jpg;1;;;;
