nom_categorie1;nom_categorie2;nom_categorie3;nom;Conditionnement;marque;BF;BIO;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;Hauteur ;Longueur ;Largeur ;profondeur;Nb de cartons par couche;Nb de couche par palette;NB carton/palette;DLV Theorique;DLV Garantie;etat
PRODUITS FRAIS;Boucherie libre service;Hebdopack charal;Bifteck haché 15%;Le doypack 130g;CHARAL;NAT; ;48100640;925685;3181232220125;12;1.4883;17.8596;2.02;13;30;26;0.01014;12;12;144;7;8;1
PRODUITS FRAIS;Boucherie libre service;Hebdopack charal bio;2 steaks hachés BIO 15% M.G;L'hebdopack 200g;CHARAL;NAT;BIO;48100650;925586;3181232220163;8;2.5536;20.4288;1.6;8;40;30;0.0096;8;23;184;7;8;1
PRODUITS FRAIS;Boucherie libre service;Barquette sous atmosphere viandes hachees;Viande hachée pur boeuf 15% M.G.;La barquette 350g;CHARAL;NAT; ;48100670;927863;3181232127714;12;3.0262;36.3144;4.2;9;28;30;0.00756;8;15;120;6;7;1
PRODUITS FRAIS;Boucherie libre service;Hebdopack charal;Tartare pur boeuf 5% M.G. et sa sauce;L'hebdopack 180g;CHARAL;NAT; ;48100840;925545;3181232220279;8;3.0599;24.4792;2;8;40;30;0.0096;12;12;144;9;10;1
PRODUITS FRAIS;Boucherie libre service;Barquette sous atmosphere viandes hachees;"4 steaks hachés 15% M.G. ""Tendrement bon""";La barquette 400g;SOCOPA;NAT; ;48300070;959767;3039050149480;4;2.763;11.052;1.6;8;40;30;0.0096;8;14;112;6;7;1
PRODUITS FRAIS;Boucherie libre service;Porc frais;3 côtes de porc sans os;La barquette 300g;TRADIVAL;NAT; ;48400190;583823;3608568042189;6;2.4041;14.4246;1.8;30;19;14;0.00798;8;8;64;8;9;1
PRODUITS FRAIS;Boucherie libre service;Porc frais;Rôti de porc épaule;Le kilo;TRADIVAL;NAT; ;48400230;873463;2633416022304;1;4.9282;4.9282;2.2;18;40;30;0.0216;8;10;80;7;8;1
PRODUITS FRAIS;Boucherie libre service;Porc frais;Lomo Filet de Porc Ail & Persil;La barquette 300g;TRADIVAL;NAT; ;48401540;861625;3608568400637;6;2.6767;16.0602;1.8;10;40;30;0.012;8;12;96;11;12;1
PRODUITS FRAIS;Boucherie libre service;Porc frais;Lomo Filet de Porc saveurs Méditerranéennes;La barquette 300g;TRADIVAL;NAT; ;48401570;861724;3608568400644;6;2.6767;16.0602;1.8;10;40;30;0.012;8;12;96;11;12;1
PRODUITS FRAIS;Boucherie libre service;Saucisserie;6 Chipolatas nature;La barquette 330g;BELLE FRANCE;BF; ;48402130;521484;3258561466132;6;1.7315;10.389;2.28;16;40;30;0.0192;8;8;64;8;9;1
PRODUITS FRAIS;Boucherie libre service;Saucisserie;6 Chipolatas aux herbes;La barquette 330g;BELLE FRANCE;BF; ;48402140;524942;3258561466149;6;1.7304;10.3824;1.99;16;39;30;0.01872;8;8;64;8;9;1
ENTRETIEN;Lessives;-;Lessive en poudre;La boîte 1,625kg;GAMA;NAT; ;50230220;720383;8435495806165;4;3.6051;14.4204;6.5;17;12;8;0.001632;12;8;96;0;0;1
ENTRETIEN;Lessives;Lessives liquides;Lessive liquide;Le bidon 1,43 litre;GAMA;NAT; ;50344290;592667;8435495806240;4;2.6736;10.6944;6;16;12;8;0.001536;18;5;90;0;0;1
ENTRETIEN;Lessives;Lessives liquides;Lessive liquide au savon Marseille & Lotus;Le bidon 1,43 litre;GAMA;NAT; ;50344350;592683;8435495808015;4;2.7851;11.1404;6;16;12;8;0.001536;18;5;90;0;0;1
ENTRETIEN;Assouplisseurs;-;Assouplissant Peaux sensible;Le bidon 750ml;RAINETT ZERO%;NAT; ;50352220;495564;4009175944092;8;1.2641;10.1128;6;25;26;19;0.01235;18;3;54;0;0;1
ENTRETIEN;Nettoyant menager;-;Détachant;Le spray 750ml;GAMA ACTIVE;NAT; ;50553200;760587;8435495809050;8;1.9009;15.2072;6.5;16;12;8;0.001536;15;5;75;0;0;1
ENTRETIEN;Produits vaisselle mains;-;Liquide vaisselle écologique à l'Amande;Le flacon 750ml;RAINETT;NAT; ;50735880;532481;4009175946782;10;0.8083;8.083;7.5;28;19;28;0.014896;16;3;48;0;0;1
ENTRETIEN;Produits desodorisants;-;Spray détecteur de mouvement aux fruits rouges; ;BRISE;NAT; ;51611170;747469;5000204809015;4;4.4051;17.6204;1.24;17;10;24;0.00408;37;5;185;0;0;1
ENTRETIEN;Gamme brosserie;-;Pelle/Balayette bitouch; ; ;NAT; ;51851110;738047;3543534965317;6;2.7504;16.5024;3.5;20;30;25;0.015;10;6;60;0;0;1
EPICERIE;Univers bebe;Les couches & culottes bébés;Changes bébé;Le paquet T4 (9-14KG) x 19;PAMPERS HARMONIE;NAT; ;67424420;861427;4015400835332;4;6.7303;26.9212;3;25;38;25;0.02375;9;7;63;0;0;1
EPICERIE;Univers bebe;Les couches & culottes bébés;Changes bébé;La paquet T5 (+11kg) x 17;PAMPERS HARMONIE;NAT; ;67424430;861708;4015400835370;4;6.7303;26.9212;4;27;40;35;0.0378;6;6;36;0;0;1
