RAYON;Famille;nom_categorie;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;profondeur;Hauteur;Longueur;Largeur;NB carton/palette;Nb de cartons par couche;Nb de couche par palette;DLV Theorique;DLV Garantie;BF;BIO;nom;Conditionnement;marque;etat
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20757220;353920;24000010920;12;1.7683;21.2204;12;0.017472;13;42;32;72;6;12;360;120;NAT; ;Cocktail de fruits au sirop léger;La boîte 500g;DEL MONTE;1
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20757450;354662;3303158230013;12;1.101;13.2122;11.3;0.01476;12;41;30;72;6;12;360;180;1P; ; ; ; ;1
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20757460;353987;3255693000227;6;1.1536;6.9219;1.58;0.004374;9;27;18;224;16;14;270;120;NAT; ;Fruits du Verger au jus sans sucres ajoutés + cuillère;La kup 118g;ROCHEFONTAINE;#N/A
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20766950;353946;3255693000197;6;1.1536;6.9219;1.58;0.004374;9;27;18;224;16;14;270;120;NAT; ;Ananas au jus sans sucres ajoutés + cuillère;La kup 118g;ROCHEFONTAINE;1
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20767200;359943;3303157862420;24;0.8936;21.4477;15;0.0216;30;30;24;54;9;6;360;120;1P; ; ; ; ;#N/A
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20767300;359901;24000011859;12;1.202;14.4248;16.3;0.02184;24;35;26;54;9;6;300;120;NAT; ;Tranches d'ananas au jus;La boîte 560g;DEL MONTE;1
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20767310;359927;24000146087;8;1.8031;14.4248;7.4;0.010395;11;35;27;108;9;12;360;120;NAT; ;Tranches d'Ananas au jus;Le pack 3 boîtes x 220g;DEL MONTE;1
EPICERIE;CUISINE DU MONDE;LA CUISINE CHINOISE;20770510;356642;3379140618367;24;0.9704;23.2919;11.2;0.0108;15;30;24;60;6;10;360;120;NAT; ;Extrait de noix de coco;La boîte 400g;EAGLOBE;1
EPICERIE;CUISINE DU MONDE;LA CUISINE CHINOISE;20770520;356667;6901009370306;24;1.1441;27.4602;16.5;0.02268;24;35;27;54;9;6;360;120;NAT; ;Lychees en sirop;La boîte 565g;MOUNT ELEPHANT;1
EPICERIE;DESSERTS;LES FRUITS AU SIROP;20771760;354746;3299342252322;6;1.4431;8.6586;3.3;0.00425;10;25;17;210;21;10;360;120;NAT; ;Airelles sauvages au naturel;Le bocal 110g;BEYER;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21111330;409144;3258565210038;12;0.7905;9.486;12;0.0144;12;40;30;72;6;12;330;120;1P; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21111520;400564;3258561210148;12;0.461;5.5324;6;0.00819;9;35;26;144;9;16;360;120;BF; ;Petits pois très fins;La boite 280g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21111540;400606;3258561210186;12;0.7957;9.5491;12;0.015252;12;41;31;72;6;12;360;120;BF; ;Petits pois très fins;La boite 560g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21111600;400705;3258561210100;8;0.9547;7.6376;6.3;0.009184;8;41;28;120;6;20;360;120;BF; ;Petits pois à l'étuvée extra-fins;Le lot 3 boitesx140g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21111620;400762;3258561210032;12;0.4863;5.8356;6;0.00819;9;35;26;144;9;16;360;120;BF; ;Petits pois à l'etuvée extra fins;La boite 280g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21111640;400804;3258561210063;12;0.8252;9.9028;12;0.01476;12;41;30;72;6;12;360;120;BF; ;Petits pois extra fins;La boite 560g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21111650;400820;3258561210049;6;0.8431;5.0587;6;0.00754;13;29;20;144;16;9;360;120;BF; ;Petits pois extra fins;Le bocal 445g;BELLE FRANCE;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21115500;469684;3017800199381;12;1.0978;13.1743;6;0.008505;9;35;27;144;12;12;360;120;NAT;BIO;Petits pois BIO;La boîte 265g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21115540;408260;3017800078662;12;0.6357;7.6292;6;0.008748;9;36;27;144;9;16;360;252;NAT; ;Petits pois extra fins;La boite 280g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES PETITS POIS;21115560;408286;3017800000793;12;1.0357;12.429;12;0.01476;12;41;30;84;7;12;360;252;NAT; ; ; ; ;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21136180;407288;3083680482035;12;0.8368;10.0418;3;0.004;5;32;25;180;10;18;360;252;NAT; ;Petits pois;La boite 140g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21136200;407304;3083681094282;16;1.1557;18.492;8.5;0.009632;7;43;32;126;6;21;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21136210;407346;3083680085311;12;1.6967;20.3614;10.8;0.01152;8;40;36;96;6;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21141000;469106;3258561210247;8;0.9841;7.8734;6.2;0.009512;8;41;29;120;8;15;360;120;BF; ;Petits pois carottes;Le lot 3 boitesx130g;BELLE FRANCE;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21141020;469205;3258561210360;12;0.4947;5.9366;6;0.00819;9;35;26;144;9;16;360;120;BF; ;Petits pois et carottes très fins;La boite 265g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21141040;469502;3258561210384;12;0.8041;9.6502;12;0.01476;12;41;30;72;6;12;360;120;BF; ;Petits pois et carottes très fins;La boite 530g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21141050;469528;3258561210322;6;0.802;4.8124;6;0.00702;15;26;18;144;16;9;360;120;BF; ;Petits pois et jeunes carottes extra-fins;Le bocal 420g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21141060;469544;3258561210209;12;0.4757;5.7093;6;0.0091;10;35;26;144;9;16;360;120;BF; ;Petits pois et jeunes carottes extra fins;La boite 265g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21141070;469569;3258561210278;12;0.8157;9.7891;13;0.015624;12;42;31;72;6;12;360;120;BF; ;Petits pois et jeunes carottes extra fins;La boite 530g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21141080;469585;3258561210308;6;1.722;10.3323;6;0.00702;15;26;18;144;16;9;360;120;BF;BIO; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21141150;469627;3258565210076;12;0.7526;9.0313;12;0.0144;12;40;30;72;6;12;360;120;1P; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21141380;471045;3083680482042;12;0.821;9.8523;3;0.004;5;32;25;180;10;18;360;252;NAT; ;Petits pois carottes;La boite 130g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21141400;471060;3083681095319;16;1.1294;18.071;12.6;0.0143;13;44;25;70;7;10;360;120;NAT; ;Petits pois et carottes;Le lot 2 boîtes x 265g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21141410;471086;3083680481991;12;1.6662;19.9951;10.8;0.0144;10;40;36;96;6;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21142000;472001;3017800078723;12;0.6357;7.6292;6;0.008505;9;35;27;144;9;16;360;120;NAT; ;Petits pois extra-fins et carottes;Le lot 4 boîtes x 265g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES CAROTTES & PETITS POIS/CAROTTES;21142020;472027;3017800003558;12;1.0357;12.429;12;0.015744;12;41;32;84;7;12;360;252;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21210090;526582;3255691002995;12;1.4346;17.2163;12;0.008265;15;29;19;72;8;9;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21210100;500322;3255691003015;12;1.3546;16.2563;11;0.006912;16;24;18;100;10;10;360;120;NAT; ;5 Fagotins d'haricots verts extra-fins;Le bocal 220g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21210110;500389;3255691007655;6;1.5652;9.3912;3.7;0.004928;14;22;16;240;24;10;360;120;NAT;BIO;Haricots verts Extra-fins Bio;Le bocal 530g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21214500;412163;3258561210582;12;0.4126;4.9514;5.9;0.007722;9;33;26;144;9;16;360;120;BF; ;Haricots verts fins;La boite 220g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21214550;412205;3258561210605;12;0.6926;8.3113;11.7;0.015252;12;41;31;72;6;12;360;120;BF; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21215450;412106;3258561210674;8;1.0168;8.1344;6.3;0.009512;8;41;29;120;8;15;360;120;BF; ;Haricots verts très fins;Le lot 3 boitesx110g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21215500;412502;3258561210506;12;0.4136;4.964;5.9;0.007875;9;35;25;144;9;16;360;120;BF; ;Haricots vert très fins;La boite 220g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21215520;412544;3258561210537;12;0.7515;9.0186;11.6;0.015252;12;41;31;72;6;12;360;120;BF; ;Haricots verts très fins;La boite 440g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21215700;412601;3258561210568;12;0.4241;5.0903;5.8;0.00819;9;35;26;144;9;16;360;120;BF; ;Haricots verts extra-fins;La boite 220g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21215720;412643;3258561210469;12;0.7473;8.9681;11.7;0.01476;12;41;30;72;6;12;360;120;BF; ;Haricots verts extra-fins;La boite 440g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21215730;412668;3258561210483;12;1.4073;16.8879;12;0.008265;15;29;19;72;8;9;360;120;BF; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21216980;413989;3083681057843;12;1.0273;12.328;3;0.004;5;32;25;180;10;18;360;252;NAT; ;Haricots verts extra fins;La boite 110g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21217010;414029;3083681027860;12;2.4883;29.8601;10.8;0.01296;9;40;36;96;6;16;360;120;NAT; ;Haricots verts extra fins;La boite 390g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21217540;408468;3017800016862;12;0.621;7.4524;6;0.00819;9;35;26;144;9;16;360;120;NAT; ;Haricots verts extra fins;Le lot 4 boîtes x 220g;D'AUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21217560;408484;3017800207901;12;1.0736;12.8838;6;0.015252;12;41;31;84;7;12;360;120;NAT; ;Haricots verts extra-fins;Le lot 4 boîtes x 440g;D'AUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21217590;500348;3017800230718;12;1.2915;15.4984;12;0.01476;12;41;30;84;7;12;360;120;NAT; ;Duo Haricots verts , haricots beurre;Le lot 2 boîtes x 455g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21217610;408526;3017800199404;12;1.1252;13.5027;6;0.008505;9;35;27;144;12;12;360;120;NAT;BIO;Haricots verts BIO;La boîte 225g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21218020;412924;3258565210144;12;0.6452;7.7429;11;0.0144;12;40;30;72;6;12;360;120;1P; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21218040;412965;3258565210137;12;0.7031;8.4376;12;0.0144;12;40;30;72;6;12;360;120;1P; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21220000;412585;3258561210438;12;0.4884;5.8608;6;0.00819;9;35;26;144;9;16;360;120;BF; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21220010;412700;3258561210445;12;0.7915;9.4986;11.6;0.015252;12;41;31;72;6;12;360;120;BF; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21223050;413880;3017800067031;12;0.8115;9.7386;6;0.007956;9;34;26;144;9;16;360;120;NAT; ;Haricots beurre Extra fins;Le lot 3 boîtes x 220g;D'AUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES HARICOTS VERTS & BEURRE;21223060;413906;3017800022016;12;1.4389;17.2668;12;0.015252;12;41;31;84;7;12;360;120;NAT; ; ; ; ;1
EPICERIE;SAUCES;LES CONCENTRÉS & COULIS DE TOMATES;21300000;420786;8005110170300;8;1.6452;13.1617;11.2;0.0162;12;45;30;60;6;10;360;120;NAT; ;100% pulpe de Tomate Italienne;Le lot 3 boîtes x 400g;MUTTI;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21300010;420828;8005110060007;24;0.6526;15.6626;11;0.02295;17;45;30;72;9;8;360;120;NAT; ;Tomates pelées;La boîte 400g;MUTTI;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21300020;420844;8005110050008;12;1.0252;12.3027;11;0.01872;13;40;36;72;12;6;360;120;NAT; ;Tomate pelée;La boîte 800g;MUTTI;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21300030;420869;80042563;6;0.9115;5.4693;6.2;0.009216;24;24;16;125;25;5;360;120;NAT; ;Purée de Tomates;Le bocal 700g;MUTTI;1
EPICERIE;SAUCES;LES CONCENTRÉS & COULIS DE TOMATES;21300040;420885;8005110191015;6;1.0473;6.284;6.2;0.009216;24;24;16;125;25;5;360;120;NAT; ;Purée de Tomates Passata au Basilic;Le bocal 700g;MUTTI;1
EPICERIE;SAUCES;LES CONCENTRÉS & COULIS DE TOMATES;21300050;420489;8005110551284;6;1.3231;7.9387;5.6;0.00792;12;30;22;120;12;10;360;120;NAT; ;Sauce aromatisée pour pizza;Le lot 2 boîtes x 400g;MUTTI;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301500;420505;3017800008898;12;0.5705;6.8461;6;0.00726;11;30;22;144;12;12;360;252;NAT; ;Tomates pelées au jus;La boite 238g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301520;420521;3017800008959;12;0.9936;11.9238;8.5;0.018;15;40;30;84;7;12;360;252;NAT; ;Tomates pelées au jus;La boite 476g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301550;420661;3017800199435;12;1.0725;12.8711;6;0.008505;9;35;27;144;12;12;360;120;NAT;BIO; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301800;420588;8000483150157;12;0.561;6.7324;10.5;0.01476;12;41;30;72;6;12;360;120;1P; ;Tomates entières pelées au jus;La boite 480g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301810;420604;8000483150553;24;0.2842;6.8208;10.8;0.009216;12;32;24;72;6;12;360;120;1P; ;Tomates entières pelées au jus;La boite 240g;VICTORIA;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301850;280081;3760020509538;6;1.3525;8.1155;5.5;0.007161;11;31;21;144;12;12;600;300;NAT;BIO;Tomates Entières Pelées;La boîte 400g;JARDIN BIO;1
EPICERIE;CONSERVES DE LÉGUMES;LES TOMATES;21301950;420646;8000483150508;12;0.2842;3.4104;5.5;0.009216;12;32;24;144;12;12;360;120;NAT; ;Tomates pelées concassées en cubes;La boite 240g;VICTORIA;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21410010;450106;3258561210759;8;0.9841;7.8734;6.3;0.009512;8;41;29;120;8;15;360;120;BF; ;Macédoine de légumes;Le lot 3 boitesx130g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21410600;450148;3258561210162;12;0.4557;5.4693;6;0.00728;8;35;26;144;9;16;360;120;BF; ;Macédoine de légumes;La boite 265g;BELLE FRANCE;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21411300;450189;3258561210704;12;0.7747;9.2965;11.7;0.015252;12;41;31;72;6;12;360;120;BF; ;Macédoine de légumes;La boite 530g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21413400;420406;3258565210250;12;0.801;9.6123;7.36;0.0144;12;40;30;72;6;12;360;120;1P; ; ; ; ;0
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21413530;480442;3017800202005;12;0.801;9.6123;6;0.00819;9;35;26;144;9;16;360;120;NAT; ;Macédoine de légumes déjà égouttée;La boîte 265g;DAUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21413610;541409;3478820031479;6;1.9967;11.9806;6;0.00663;15;26;17;152;19;8;300;120;NAT;BIO; ; ; ;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21420950;480400;3017800201763;12;0.9936;11.9238;4.2;0.00819;9;35;26;144;9;16;360;120;NAT; ;Poêlée Jardinière au Jus de Carottes;Le lot 2 boîtes x 290g;D'AUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21420960;480426;3017800215364;12;0.9936;11.9238;4.2;0.00819;9;35;26;144;9;16;360;120;NAT; ;Poêlée Basquaise au Jus de Poivrons;Le lot 2 boîtes x 290g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21421010;480368;3083680094092;16;1.2715;20.3446;8.5;0.009632;7;43;32;126;6;21;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES MACÉDOINES & GARNITURES DE LÉGUMES;21421020;480384;3017800004005;12;1.1452;13.7427;12;0.01476;12;41;30;84;7;12;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES LÉGUMES;21421100;480509;3017800232422;12;1.2546;15.0563;4.4;0.007956;9;34;26;144;9;16;360;120;NAT; ;Wok de légumes Curry;La boîte 290g;D'AUCY;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES LÉGUMES;21421110;480525;3017800232415;12;1.2546;15.0563;4.4;0.007956;9;34;26;144;9;16;360;120;NAT; ;Wok de légumes Thaï;La boîte 290g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES HARICOTS;21442000;472407;3017800061350;12;1.2915;15.4984;12;0.01476;12;41;30;84;7;12;360;252;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21514800;472464;3258561210766;12;2.3188;27.8265;6.5;0.00972;18;27;20;108;18;6;360;120;BF; ;Asperges Blanches Moyennes;Le bocal 72cl;COMTE DE LA CHARNAYE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21514810;472480;3258561210780;12;1.4662;17.5952;8.1;0.010773;19;27;21;104;13;8;360;120;BF; ;Asperges blanches moyennes;Le bocal 205g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21515010;460964;3255691001257;6;2.8672;17.2036;6.5;0.00972;18;27;20;108;18;6;360;120;NAT; ;Asperges Blanches Moyennes;Le bocal 72cl;COMTE DE LA CHARNAYE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21515230;461087;3255691000489;12;1.7988;21.5867;8.1;0.010584;18;28;21;104;13;8;360;120;NAT; ;Asperges vertes;Le bocal 185g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21515240;460980;3255691000472;12;1.7988;21.5867;8.1;0.010584;18;28;21;104;13;8;360;252;NAT; ;Asperges blanches;Le bocal 205g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21515260;461004;3255691000199;12;1.281;15.3721;4.2;0.00648;12;27;20;190;19;10;360;120;NAT; ;Asperges vertes miniatures;Le bocal 100g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21523850;460923;3255691001004;12;1.281;15.3721;4.3;0.0057;12;25;19;190;19;10;360;120;NAT; ;Asperges blanches miniatures;Le bocal 110g;ROCHEFONTAINE;1
EPICERIE;CONSERVES DE LÉGUMES;LES LEGUMES CRUDITÉS;21524200;461806;3255691000298;12;1.5936;19.1236;6.8;0.004704;8;28;21;168;14;12;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21614000;464420;3258561210933;6;0.7547;4.5282;3;0.004704;8;28;21;300;15;20;360;120;BF; ;Champignons de Paris pieds et morceaux;Le lot 2 boitesx115g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614010;464446;3258561210940;12;0.6662;7.9955;5.6;0.007843;11;31;23;156;12;13;360;120;BF; ;Champignons de Paris émincés;La boite 230g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21614020;464461;3258561210872;6;0.9441;5.665;3;0.004704;8;28;21;300;15;20;360;120;BF; ;Champignons de Paris entiers;Le lot 2 boitesx115g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614030;464487;3258561210889;12;0.5462;6.5555;5.6;0.007843;11;31;23;156;12;13;360;120;BF; ;Champignons de Paris pieds et morceaux;La boite 230g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614040;464503;3258561210803;6;1.5294;9.1765;5.2;0.015624;12;42;31;168;12;14;360;120;BF; ;Champignons de Paris entiers;La boite 460g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614050;464545;3258561210827;12;0.7873;9.4481;5.6;0.007337;11;29;23;156;12;13;360;120;BF; ;Champignons de Paris entiers;La boite 230g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21614060;464560;3258561210995;6;0.8336;5.0019;3;0.004704;8;28;21;300;15;20;360;120;BF; ;Champignons de Paris émincés;Le lot 2 boitesx115g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614180;465005;3333160001028;12;1.0894;13.0732;5.6;0.00819;9;35;26;144;9;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614200;464826;3173610005028;12;1.4346;17.2163;5.6;0.00819;9;35;26;144;9;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21614230;464867;3173610007060;12;1.4346;17.2163;5.6;0.00819;9;35;26;144;9;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21621000;466706;3112300210519;6;2.4672;14.8037;3.8;0.00364;14;20;13;210;30;7;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21621010;466680;3112300209407;12;1.9725;23.6708;3;0.004704;8;28;21;196;14;14;360;120;NAT; ;Cèpes Extra;La boîte 110g;BORDE;1
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21621020;466722;3112300203511;6;2.9704;17.8226;3.4;0.00338;13;20;13;210;30;7;360;120;NAT; ; ; ; ;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21621080;466789;3112300224400;12;0.9136;10.9638;3;0.004704;8;28;21;196;14;14;360;120;NAT; ;Panier Forestier;La boîte 110g;BORDE;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES CHAMPIGNONS;21621100;466763;3112300203405;12;1.8188;21.8267;3;0.004704;8;28;21;196;14;14;360;120;NAT; ;Girolles;La boîte 110g;BORDE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES 1X4 EN LOTS;21713000;474106;3258561211107;8;1.0073;8.0587;6.3;0.01189;10;41;29;120;8;15;360;120;BF; ;Flageolets verts extra fins;Le lot 3 boitesx130g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES HARICOTS;21713100;475103;3258561211145;12;0.4978;5.9745;6;0.00819;9;35;26;144;9;16;360;120;BF; ;Flageolets verts extra-fins;La boite 265g;BELLE FRANCE;#N/A
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES HARICOTS;21713120;475145;3258561211039;12;0.8957;10.7491;11.8;0.014268;12;41;29;72;6;12;360;120;BF; ;Flageolets verts extra-fins;La boite 530g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOCAUX DE LEGUMES;21713130;475160;3258561211138;6;0.8905;5.343;8;0.006656;16;26;16;144;16;9;360;120;BF; ;Flageolets verts extra fins;Le bocal 420g;BELLE FRANCE;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21713980;479188;3083680482066;12;0.782;9.3849;3;0.004;5;32;25;180;10;18;360;252;NAT; ;Flageolets cuisinés;La boite 130g;CASSEGRAIN;1
EPICERIE;CONSERVES DE LÉGUMES;LES BOITES RECTANGLE;21713990;479162;3083680482011;12;1.6915;20.2983;10.8;0.01092;8;39;35;96;6;16;360;120;NAT; ; ; ; ;1
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES HARICOTS;21714300;472209;3017800078754;12;0.6399;7.6797;6;0.00945;10;35;27;144;9;16;360;252;NAT; ;Flageolets extra fins;La boite 265g;D'AUCY;1
EPICERIE;CONSERVES DE LÉGUMES;LES AUTRES HARICOTS;21714320;472225;3017800007761;12;1.0831;12.9975;6;0.017794;14;41;31;84;7;12;360;252;NAT; ; ; ; ;1
