nom_categorie1;nom_categorie2;nom_categorie3;nom;Conditionnement;marque;BF;BIO;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;Hauteur ;Longueur ;Largeur ;profondeur;Nb de cartons par couche;Nb de couche par palette;NB carton/palette;DLV Theorique;DLV Garantie;etat
ARTICLES BAZAR;Fournitures magasins;-;Rouleaux Carte Bleue 57X46X13;;;NAT; ;99019730;999904;5709750000388;60;0.2726;16.356;3;23;23;22;0.012;13;8;104;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Rouleaux caisse 70x70x12;;;NAT; ;99019700;999847;999847;50;0.3052;15.26;7;15;34;33;0.017;6;10;60;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sacs Cabas réutilisables G20;Les 100 sacs;;NAT; ;99010280;594887;3434030012011;100;0.3589;35.89;9.63;37;45;40;0.067;8;5;40;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac cabas réutilisable;;BELLE FRANCE;BF; ;99010440;856963;3434030023284;25;0.3642;9.105;2.34;10;38;38;0.014;6;19;114;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Rouleau caisse thermique 80x80x13;;;NAT; ;99019720;999888;999888;30;0.8757;26.271;2.5;25;39;39;0.038;15;6;90;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Papier ingraissable 25x32;;;NAT; ;99010100;988303;3434033525327;10;1.5694;15.694;10.2;16;34;27;0.015;13;4;52;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac fruit légumes;Le sac 2kg;;NAT; ;99010030;988048;3434033501550;1;12.9543;12.9543;6.8;27;39;23;0.024;10;7;70;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac baguette blanc x1000 90x58;;;NAT; ;99010430;988808;3434030062009;1;14.6648;14.6648;3.55;14;56;15;0.012;6;13;78;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac sandwich x2000;;;NAT; ;99010360;988246;3434030017078;1;17.8015;17.8015;7.6;31;31;40;0.038;6;5;30;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac pain kraft blanchi x1000;;;NAT; ;99010450;988824;3434030062108;1;17.8342;17.8342;6.8;20;60;20;0.024;8;3;24;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Encreur erc 31;;;NAT; ;99010500;988501;5022644296682;10;2.3304;23.304;1;9;32;21;0.006;10;2;20;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Encreur erc 32;;;NAT; ;99010510;988485;988485;10;2.3304;23.304;0.1;80;15;5;0.006;10;2;20;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac baguette brun x1000 90x5;;;NAT; ;99010400;988261;3434030010109;1;27.3676;27.3676;6.4;18;78;19;0.027;6;5;30;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Sac pain kraft brun x1000;;;NAT; ;99010420;988360;3434030010307;1;31.2243;31.2243;8.4;26;23;40;0.024;5;6;30;0;0;1
ARTICLES BAZAR;Fournitures magasins;-;Rouleau de sacs Biodégradables 35x45cm;Rouleau de sacs Biodégradables 35x45cm -  - Les 300 sacs;;NAT;BIO;99019200;512061;512061;9;6.5776;59.1984;3;49;26;24;0.031;15;4;60;330;240;1
ARTICLES BAZAR;Matériel électrique;-;Triplite 2 prises 16a + 1 prise 6 ampères blanc;;;1P; ;61200100;740480;3660518206058;35;0.741;25.935;0.6;16;20;30;0.01;11;4;44;0;0;1
ARTICLES BAZAR;Matériel électrique;-;Biplite 10/16a + terre blanc;;;1P; ;61200200;740506;3660518206119;35;0.781;27.335;2.425;17;30;40;0.02;8;4;32;0;0;1
ARTICLES BAZAR;Matériel électrique;-;Triplite triangle 16a + t blanc;;;NAT; ;61200040;740183;3660518206096;25;0.8178;20.445;0.51;16;20;30;0.01;11;4;44;0;0;1
ARTICLES BAZAR;Matériel électrique;-;Bloc 3 prises 16a + terre;;;1P; ;61200130;740563;3660518207581;15;1.2536;18.804;0.56;16;20;30;0.01;11;4;44;0;0;1
