id;id_parent;nom
178;8;AMPOULES A INCANDESCENCE
179;8;AMPOULES L.E.D.
180;8;AMPOULES OSRAM ECONOMIE D'ENERGIE
181;8;CONGELATION
182;8;DIVERS
183;8;ESSUIE TOUT
184;8;FOURNITURES MAGASINS
185;8;MATERIEL ELECTRIQUE
186;8;PAPETERIES
187;8;PAPIER CADEAU
188;8;PILES
189;8;SACS POUBELLES
190;8;TAMPONS RECURANTS
191;8;TERREAU
192;8;TRAITEMENT EAU
193;9;COLLANTS-MI-BAS-SOCQUETTE DIM
194;9;COLLANTS-MI-BAS-SOCQUETTE BELLE FRANCE
195;10;LES BISCOTTES AVEC SEL
196;10;LES BISCOTTES SANS SEL ET SANTÉ
197;10;LES TARTINES
198;10;LES PAINS GRILLÉS
199;10;LES PAINS GRILLÉS SUÉDOIS
200;10;LES PAINS AZYMES ET CRACKERS DE TABLE
201;11;LES GÂTEAUX PÂTISSIERS & GLACIERS
202;11;LES GAUFRETTES
203;11;LA BISCUITERIE HAUTE GAMME
204;11;LE GRIGNOTAGE
205;11;LES GOÛTERS ET PETITS DÉJEUNERS
206;11;LES COOKIES
207;11;GÂTEAUX A PARTAGER
208;11;GÂTEAUX POUR LE GOÛTER
209;11;LES BISCUITS CONFITURES
210;11;LES BROWNIES
211;11;LES BISCUITS SECS
212;11;LES ASSORTIMENTS
213;11;LES GALETTES ET PALETS
214;11;LES BISCUITS CHOCOLATÉS AUTRES
215;11;LES BISCUITS CHOCOLATÉS SABLÉ
216;11;LES BISCUITS CHOCOLATÉS TABLETTE
217;12;-
218;12;LES BISCUITS SALÉS ET CRACKERS
219;12;LES EXTRUDES
220;12;LES GRAINES
221;12;LES CHIPS AROMATISÉES
222;12;LES CHIPS À L'ANCIENNE
223;12;LES CHIPS NATURES
224;12;LES CHIPS SPÉCIALITÉS
225;13;LES ÉPICES
226;13;LES POIVRES
227;13;LE SEL
228;14;LES CAFÉS EN GRAINS
229;14;LES CAFÉS D'ORIGINES MOULUS
230;14;LES CAFÉS ARABICA MOULUS
231;14;LES CAFÉS DECAFÉINÉS MOULUS
232;14;LES CAFÉS EN CAPSULES NESPRESSO
233;14;LES CAFÉS EN DOSETTE DOLCE GUSTO
234;14;LES CAFÉS EN DOSETTES TYPE SENSEO
235;14;LES CAFÉS EN DOSETTES TASSIMO
236;14;LES CAFÉS ROBUSTA MOULUS
237;14;LES CAFÉS EXPRESSO & ITALIENS MOULUS
238;14;LES CAFÉS DOUX MOULUS
239;14;LES CAFÉS ARABICA SOLUBLES
240;14;LES CAFÉS & CAPPUCCINO SOLUBLES
241;14;LES CAFÉS ROBUSTA SOLUBLES
242;14;LES FILTRES & DÉTARTRANTS CAFETIÈRES
243;15;LES CEREALES CHOCOLATEES
244;15;LES CEREALES SANTE
245;15;LES CORN FLAKES
246;15;LES CEREALES SUCREES & AU MIEL
247;15;LES CEREALES FOURREES
248;15;LES AVOINES & MUESLIS
249;15;LES BARRES CEREALES
250;16;LE CHOCOLAT POUR DESSERTS
251;16;LE CHOCOLAT NOIR
252;16;"LE CHOCOLAT ""SPÉCIALITÉS ADULTES"""
253;16;LE CHOCOLAT AU LAIT
254;16;"LE CHOCOLAT ""SPÉCIALITÉS ENFANTS"""
255;16;LE CHOCOLAT AUX NOISETTES & AMANDES
256;17;LES AUTRES CONDIMENTS
257;17;LES CORNICHONS
258;17;LES OLIVES
259;17;LES MAYONNAISES
260;17;LES MOUTARDES
261;18;"LA CONFISERIE CHOCOLATÉE ""FORMAT SNACK"""
262;18;"LA CONFISERIE CHOCOLATÉE ""FORMAT FAMILIAL"""
263;18;LA CONFISERIE A LA PIÈCE
264;18;LES BONBONS POUR ADULTES
265;18;LES AUTRES BONBONS POUR ENFANTS
266;18;LES CARAMELS - NOUGATS & PÂTES DE FRUITS
267;18;"LES BONBONS ""DEVANT DE CAISSE"""
268;18;LES BONBONS GÉLIFIÉS POUR ENFANTS
269;18;LES CHEWING-GUM DRAGÉES
270;18;LES CHEWING-GUM TABLETTES
271;18;LES CHEWING-GUM EN BOX
272;18;LES SUCETTES
273;19;LES CHAMPIGNONS
274;19;LES PETITS POIS
275;19;LES BOITES 1X4 EN LOTS
276;19;LES BOCAUX DE LEGUMES
277;19;LES BOITES RECTANGLE
278;19;LES CAROTTES & PETITS POIS/CAROTTES
279;19;LES HARICOTS VERTS & BEURRE
280;19;LES TOMATES
281;19;LES MACÉDOINES & GARNITURES DE LÉGUMES
282;19;LES AUTRES LÉGUMES
283;19;LES AUTRES HARICOTS
284;19;LES LEGUMES CRUDITÉS
285;20;LES SARDINES
286;20;LES THONS BLANCS
287;20;LES THONS
288;20;LES SALADES AU THON
289;20;LES THONS EN SAUCE
290;20;LES MAQUEREAUX
291;20;LES AUTRES CONSERVES DE POISSONS
292;21;LES VIANDES & SAUCISSES
293;21;LES PÂTÉS
294;22;LA CUISINE CHINOISE
295;22;LA CUISINE MEXICAINE
