id;nom
1156;SAINT ALBRAY
1157;ETORKI
1158;CHAUSSEE AUX MOINES
1159;FAUQUET
1161;LEGEND POITOU
1162;LA FROMAGERIE ALPINE
1163;TRIBALLAT
1164;BONS MAYENNAIS
1165;BERTHAUT
1166;FROMAGERIE D'AUXON
1167;DELUXE
1168;BRIDELICE
1169;BRIDELIGHT
1170;BRIDEL
1171;YOPLAIT
1172;LACTEL
1173;MAITRE LAITIER
1174;CANDIA
1175;LE GOURMAND
1176;MAILLE
1177;LABEYRYE
1178;PULCO
1179;STARBUCKS
1180;TAILLEFINE
1181;JOCKEY
1182;CABREYNAC
1183;CALIN
1184;LONGLEY FARM
1186;LA FERME DU MANEGE
1187;LYNOS
1188;MAITRES LAITIERS EN NORMANDIE
1189;GAYELORD HAUSER
1190;GERBLE
1191;BJORG
1192;CEREAL BIO
1193;CONTINENTAL BAKERIES
1194;GERLINEA
1195;VIVIS
1196;JARDIN BIO'LOGIQUE
1197;SCHÄR
1199;BENENUTS
1200;VICO
1201;LORENZ
1202;TERRA
1203;LAY'S
1204;BRET'S
1205;TYRRELL'S
1206;GO+TAN
1207;DOMINO
1208;BOZKURT
1209;PRUNIDOR
1210;DACO BELLO
1211;Ets DURAND
1212;MAITRE PRUNILLE
1213;BELIN
1214;RITZ
1215;ANCEL
1216;DORITOS
1217;BOEHLI
1218;TOO GOOD
1219;AMIGOS
1220;CROC ME
1221;NA!
1222;PRINGLES
1223;LU
1224;KAMBLY
1225;DELACRE
1226;MITSUBA
1227;TULIP
1228;PETIT NAVIRE
1229;COTE MER
1230;BALTHOR
1231;CONNETABLE
1232;NAUTILUS
1233;CHATKA
1234;SAUPIQUET
1235;PARMENTIER
1236;LE PHARE DU CAP BON
1237;LE SAVOUREUX
1238;HENAFF
1239;DOLO
1240;ARNAUD
1241;Tradition du Lauragais
1242;GEANT VERT
1243;MAIZENA
1244;REGIA
1245;BORDE
1246;ROCHEFONTAINE
1247;EBLY
1248;FAUGIER
1249;BARBIER DAUPHIN
1250;CASSEGRAIN
1251;DEL MONTE
1252;MINERVE
1253;SUZI WAN
1254;ROI DES MONTAGNES
1255;RAYNAL ET ROQUELAURE
1256;VICTORIA
1257;PAUL & LOUISE
1258;RAYNAL ROQUELAURE
1259;WILLIAM SAURIN
1260;ZAPETTI
1261;GARBIT
1262;TANOSHI
1263;KAÏLO BRAND
1264;OLD EL PASO
1265;PANZANI
1266;GALLO
1267;MACK
1268;KNORR
1269;LIEBIG
1270;LA POTAGERE
1271;MAGGI
1272;ROYCO MINUTE SOUP
1273;ROYCO
1274;LONGKOU
1275;TOSCA
1276;DEDICATO GRANORO
1277;BARILLA
1278;TAUREAU AILE
1279;SANS MARQUE
1280;UNCLE BEN'S
1281;SICILIA
1283;TABASCO
1284;KARA
1285;SPIGOL
1286;DUCROS
1287;ETHIQUABLE
1288;COLUMBIA
1289;LA BALEINE
1290;LE SAUNIER
1291;KÜHNE
1292;AMORA
1293;LESIEUR
1294;PUGET
1295;CAUVIN
1296;LOU MAS
1297;CARAPELLI
1298;FRANTOLIO
1299;PSP
1300;SACLA
1301;CRESPO
1302;HEINZ
1303;DI VITA
1304;EAGLOBE
1305;BENEDICTA
1306;COLONA
1307;KIKKOMAN
1308;SAVORA
1309;ISOSTA
1310;PEPPERIDGE FARM
1311;CADBURY
1312;ROYAL DANSK
1313;ST MICHEL
1314;BROSSARD
1315;SEREBIS
1316;LA BASQUAISE
1317;LA MADELEINE D'ARMOR
1318;GAVOTTES
1319;FOSSIER
1320;LA MERE POULARD
1321;BAHLSEN
1322;NIPPON
1323;McVITIES
1324;LOTUS
1325;DESTROOPER
1326;LOACKER
1327;PIC-NIC BREAK
1328;WALKERS
1329;BN
1330;WHAOU!
1331;KER CADELAC
1332;YANNICK
1333;TERRES ET Céréales
1334;DUPLO
1335;CRICH
1336;LEMARIE
1337;PASQUIER
1338;LE STER
1339;HORNO
1340;CROUSTELLA
1341;FORCHY
1342;LA FOURNEE DOREE
1343;VALENTINE
1344;MIDI
1345;FREDDI
1346;FRDDI
1347;HARRYS
1348;WHAOU
1349;LES APICULTEURS ASSOCIES
1350;PAGEN
1351;QUALITY BAKERS
1352;LINDT
1355;POULAIN
1356;CÔTE D'OR
1357;VILLARS
1358;LA VOSGIENNE
1359;MENTOS
1360;TIC TAC
1361;LA PIE QUI CHANTE
1362;CARAMBAR
1363;KREMA
1364;HARIBO
1365;CACHOU LAJAUNIE
1366;LUTTI
1367;BOUQUET D'OR
1368;RICOLA
1369;WERTHER'S
1370;CHUPA CHUPS
1371;FIZZY
1372;VERQUIN
1373;TÊTES BRÛLEES
1374;LA VOGIENNE
1375;SKITTLES
1376;FISHERMAN'S FRIEND
1377;ARTESANIA
1378;LOOK O LOOK
1379;HOLLYWOOD
1380;MALABAR
1381;FREEDENT
1382;AIRWAWES
1383;STIMOROL
1384;M&M's
1385;MALTESERS
1386;OVOMALTINE
1387;MONDELEZ
1388;SUCHARD
1389;FERRERO
1390;CARTE NOIRE
1391;NESCAFE
1392;LEROUX
1393;JACQUES VABRE
1394;GRAND-MERE
1395;MALONGO
1396;MAISON DU CAFE
1397;SENSEO
1398;SAN MARCO
1399;NATURELA
1400;MAXWELL
1401;LAVAZZA
1402;ILLY
1403;NESQUIK
1404;BANANIA
1405;VAN HOUTEN
1406;L'OR ESPRESSO
1407;DOLCE GUSTO
1408;CAFE ROYAL
1409;TASSIMO
1410;ESPRESSO
1411;TISANIERE
1412;JUVAFLORINE
1413;LIPTON
1414;ELEPHANT
1415;ROOIBOS
1416;TETLEY
1417;TWININGS
1418;HEUDEBERT
1419;ROGER
1420;COMPAGNIE BRETONNE DU POISSON
1421;PELLETIER
1422;WASA
1423;CROUSTIA
1424;NEYMANN
1425;MESTEMACHER
1426;NEW YORK BAKERY
1427;KRISPROLLS
1428;KELLOGG'S
1429;QUAKER
1430;ALPEN
1431;WEETABIX ORIGINAL
1432;JORDANS
1433;TILO'S
1434;COMPTES DE PROVENCE
1435;LES COMTES DE PROVENCE
1436;CHIVERS
1437;CLEMENT FAUGIER
1438;LUNE DE MIEL
1439;MAPLE JOE
1440;COTE MIEL
1441;APICULTEURS ASSOCIES
1442;LE QUEBECOIS
1444;DAKATINE
1445;MATERNE
1446;MONT BLANC
1447;BEYER
1448;MOUNT ELEPHANT
1449;GLORIA
1450;REGILAIT
1451;ALSA
1452;FRANCINE
1453;VAHINE
1454;IMPERIAL
1455;SPAAS
1456;TREBLEC
1457;SUNNY
1458;TUTTI FREE
1459;SAINT LOUIS
1460;COMPTOIR DU SUD
1461;CANDEREL
1462;PURE VIA
1463;MI PERLA
1464;POWERADE
1465;TRUC DE FOU
1466;BURN
1467;MONSTER RIPPER
1468;MONSTER REHAB
1469;RED BULL
1470;COCA-COLA
1471;PEPSI
1472;LORINA
1473;RICQLES
1474;CANADA DRY
1475;SCHWEPPES
1476;GINI
1477;ORANGINA
1478;SPRITE
1479;BRUT DE POMME
1480;SEVEN UP
1481;MIRINDA
1482;FANTA
1483;DR.PEPPER
1484;SUMOL
1485;SAN PELLEGRINO
1486;CACOLAC
1487;ARIZONA
1488;TAS BRAND
1489;FRUIT SHOOT TEISSEIRE
1490;TROPICO
1491;OCEAN SPRAY
1492;PAGO
1493;FRUITE
1494;PRESSADE
1495;CARAÏBOS
1496;LE BRUN
1497;NORKY
1498;CIDOU
1499;VAI VAI
1500;CAPRI-SUN
1501;MINUTE MAID
1502;TEISSEIRE
1503;SPORT BERGER
1504;SKOLL TUBORG
1505;1664
1506;K BY KRONENBOURG
1507;GRIMBERGEN KRIEK
1508;DESPERADOS
1509;CUBANISTO
1510;HOEGAARDEN
1511;AMSTERDAM
1512;GRIMBERGEN
1513;EDEILWESS
1514;CORONA EXTRA
1515;GROLSH
1516;CARLSBERG
1517;KRONENBOURG
1518;KANTERBRAU
1519;HEINEKEN
1520;PELFORTH
1521;AFFLIGEM
1522;FISHER
1523;ADELSCOTT
1524;SAINT-OMER
1525;33 EXPORT
1526;GOULADE
1527;BLONDERBRAU
1528;JENLAIN
1529;3 MONTS
1530;LEFFE
1531;STELLA-ARTOIS
1532;HOLLANDIA
1533;BAVARIA
1534;PAUWEL KWAK
1535;KARMELIET
1536;GEORGES KILLIAN
1537;EKU
1538;KIRIN BEER
1539;GUINESS
1540;GORDON
1541;BECASSE
1542;CHIMAY
1543;KRIEK FOUDROYANTE
1544;MORT SUBITE
1545;ST-STEFANUS
1546;DUVEL
1547;WESTMALLE
1548;SUPER BOCK
1549;TSINGTAO
1550;PERONI
1551;PILSNER
1552;ECUSSON
1553;LOIC RAISON
1554;FORCE 4
1555;TOURTEL
1556;BUCKLER
1557;PANACH
1558;CHAMPOMY
1559;SOMBRERO
1560;LICHETTE
1561;IRIS
1562;LES FLORELLES
1563;RESERVE DE ROUGEROY
1564;COULEURS DU SUD
1565;ROCHE MAZET
1566;DOMAINE HAUTE TOUR DE LA DEBAUDIERE
1567;MOILLARD
1568;YVECOURT
1569;LES ORMES DE CAMBRAS
1570;CUVEE DU PATRON
1571;SELECTION BELLE FRANCE
1572;ARÔMES & VIN
1573;LES 3 ORMEAUX
1574;TERROIR CALCAIRE
1575;APREMONT
1576;L'AURORE
1577;CARDINALICES 
1578;SAUTERNES
1579;LAGARDE
1580;CHÂTEAU DE LA MOUCHETIERE
1581;PINOT
1582;CLEMENT BOSQUET
1583;LAROCHETTE
1584;HARDYS STAMP
1585;PELURE
1586;CHAMPLURE
1587;BOULAOUANE
1588;SIDI YOUSSOUF
1589;GRENACHE SYRAH
1590;CAMBRAS
1591;AIME ROQUESANTE
1592;SABLE DE CAMARGUE
1593;BILLETTE
1594;MONCIGALE
1595;DOMAINE SAINTE ANNE
1596;DOMAINE DALMA
1597;CHAGNOL
1598;MATEUS
1599;CLERGET
1600;CORDIER
1601;CORDIER TERRES D'HERITAGES
1602;VIEUX PAPES
1603;CELLIER DES DAUPHINS
1604;LA CROIX D'AUSTERAN
1605;SIDI IBRAHIM
1606;LES COMBES DE SAINT-SAUVEUR
1607;BARON DE LESTAC
1608;DOMAINE DE LA CAPELLANIE
1609;TERRES D'OVALIE
1610;CELLIER DU GRANGEON
1611;GAMAY L'ELEGANT
1612;LEON PERROT
1613;MOUTON CADET
1614;ECLAT DU RHÔNE
1615;LOUSTAU CASAUBON
1616;ROC DES CHEVALIERS
1617;CHATEAU CAILLOU
1618;JOBELINE
1619;LICHINE
1620;CHÂTEAU FLEUR JEAN GUE
1621;SECRET DES DIABLES
1622;CLOS DE ROQUE NEGRE
1623;PERNICI
1624;CHIANTI VALLERINI
1625;CHÂTEAU DE LA GRAVETTE
1626;LES AMOURS
1627;CHÂTEAU PERILLAS DE MICHAUD
1628;L'ANGE DE RIPEAU
1629;LAURENT PERRIER
1630;CAFE DE PARIS
1631;PIPER-HEIDSIECK
1632;KRITER
1633;LARSON
1634;MUMM
1635;VEUVE CLICQUOT
1636;KIR ROYAL
1637;ALFRED DE ROTHSCHILD
1638;GRATIEN MEYER
1639;POL REMY
1640;CANARD-DUCHÊNE
1641;CANARD DUCHENE
1642;MERCIER
1643;COMPTE DE TARVILLE
1644;RUINART
1645;GEILE
1646;DOM PERIGNON
1647;MOET ET CHANDON
1648;VOUVRAY
1649;MOILLARD-GRIVOT
1650;CLAIRETTE DE DIE
1651;JAILLANCE
1652;BARON DE BELLAC
1653;NICOLAS FEUILLATTE
1654;CHARLES VOLNER
1655;MUSCADOR
1656;DE VENOGE
1657;RUHLMANN
1658;CAZANOVE
1659;DEUTZ
1660;RICCADONNA
1661;CHANOINE
1662;DRAPPIER CARTE D'OR
1663;VILLA GRANDA
1664;1664
1665;MARTINI
1666;AMBASSADEUR
1667;VABE
1668;NOILLY PRAT
1669;BERGER
1670;BYRRH
1671;SUZE
1672;PASTIS 51
1673;LILLET
1674;WILLIAM PITTERS
1675;FLORIANE
1676;PALERMO
1677;D'ARTIGNY
1678;CRUZ
1679;FLORANIS
1680;RICARD
1681;DUVAL
1682;PASSOA
1683;PICON CLUB
1684;PICON BIERE
1685;GUIGNOLET
1686;PISANG COREA
1687;SANDEMAN
1688;CAMPARI
1689;APEROL
1690;SISCA
1691;GET 31
1692;GET 27
1693;GRAND MARNIER
1694;REMY MARTIN
1695;DOM
1696;MARIE BRIZARD
1697;SOHO
1698;CODIGO DE BARRAS
1699;SYLVAIN
1700;MALANDRIE
1701;COURCEL
1702;BUSNEL
1703;SAINT-VIVANT
1704;MALIBU
1705;COINTREAU
1706;JAGERMEISTER
1707;BAILEY'S
1708;FERNET BRANCA
1709;NEGRITA
1710;DILLON
1711;OLD NICK
1712;MARIE GALANTE
1713;AGUACAN
1714;CLEMENT
1715;PALMIER
1716;LA MARTINIQUAISE
1717;SAINT JAMES
1718;CHARRETTE
1719;MAUNY
1720;3 RIVIERES
1721;DAMOISEAU
1722;CAPTYAIN MORGAN
1723;BACARDI
1724;HAVANA CLUB
1725;MISTER COCKTAIL
1726;VENEZZIO
1727;CANADOU
1728;ERISTOFF
1729;OLD LADY'S
1730;SAN JOSE
1731;MAYA
1732;POLIAKOV
1733;ROYAL
1734;GIBSON
1735;BOMBAY SAPHIRE
1736;GREY GOOSE
1737;SMIRNOFF
1738;ZUBROWKA
1739;SOBIESKI
1740;ABSOLUT
1741;CHIVAS REGAL
1742;GLEN GRANT
1743;JACK DANIEL'S
1744;SIR EDWARD'S
1745;WILLIAM PEEL
1746;GOLDEN HOUSE
1747;GOLDRY
1748;OLD BARRY
1749;LABEL 5
1750;FOUR ROSES
1751;CLAN CAMPBELL
1752;FAMOUS GROUSE
1753;AKASHI
1754;JOHNNIE WALKER
1755;CARDHU
1756;LAGAVULIN
1757;BALLANTINE'S
1758;LONG JOHN
1759;J&B
1760;BUSHMILLS
1761;KNOCKANDO
1762;JIM BEAM
1763;MONKEY SHOULDER
1764;GRANTS
1765;GLENFIDDICH
1766;WILLIAM LAWSON
1767;JAMESON
1768;PADDY
1769;VOLVIC
1770;BADOIT
1771;PERRIER
1772;CRISTALINE
1773;LA SALVETAT
1774;ST-YORRE
1775;VICHY CELESTINS
1776;PERRIER FINES BULLES
1777;SAINT-BENOIT
1778;VALS
1779;ROZANA
1780;QUEZAC
1781;VITTEL
1782;EVIAN
1783;SAINT AMAND
1784;CONTREX
1785;HEPAR
1786;CHANTEREINE
1787;MONT ROUCOUS
1788;THONON
1789;COURMAYEUR
1790;ELSEVE
